DOMAIN	ACCESSION	Exophiala_alcalophila	Exophiala_crusticola	Exophiala_lecanii-corni	Exophiala_mesophila	Exophiala_sideris	Exophiala_spinifera	Exophiala_viscosa	Exophiala_xenobiotica
MFS_1	PF07690.21	422	319	398	440	449	432	411	423
WD40	PF00400.37	84	81	89	82	83	91	84	84
adh_short	PF00106.30	244	222	247	263	267	235	257	221
adh_short_C2	PF13561.11	235	210	233	256	254	225	242	216
Sugar_tr	PF00083.29	204	162	211	175	254	217	211	239
Fungal_trans	PF04082.23	207	153	173	223	265	254	229	213
KR	PF08659.15	186	147	170	187	196	176	183	159
p450	PF00067.27	119	113	114	138	155	116	139	160
NAD_binding_8	PF13450.11	126	110	119	154	132	119	121	111
Zn_clus	PF00172.23	112	94	101	132	135	135	127	124
Ank	PF00023.35	25	29	55	29	36	43	29	55
Mito_carr	PF00153.32	38	35	40	43	42	37	37	38
Pkinase	PF00069.30	98	88	121	90	89	102	84	110
Fungal_trans_2	PF11951.13	86	65	79	90	111	114	110	102
Epimerase	PF01370.26	87	81	97	86	111	108	105	88
PK_Tyr_Ser-Thr	PF07714.22	91	82	109	81	82	92	79	100
ADH_N	PF08240.17	95	76	85	100	116	100	102	95
Ank_2	PF12796.12	22	26	54	27	35	42	28	54
ADH_zinc_N	PF00107.31	92	75	87	103	112	97	99	94
FAD_binding_3	PF01494.24	90	62	62	81	102	77	92	97
FMO-like	PF00743.24	68	65	86	97	76	65	61	56
RRM_1	PF00076.27	49	49	57	46	52	54	44	54
Abhydrolase_1	PF00561.25	76	53	67	62	94	77	73	80
ABC_tran	PF00005.32	37	35	42	39	35	49	36	45
Pyr_redox_2	PF07992.19	68	53	74	78	76	75	66	65
Abhydrolase_6	PF12697.12	79	51	61	60	85	76	66	75
AMP-binding	PF00501.33	67	60	58	77	71	58	67	51
TRI12	PF06609.18	57	60	57	80	73	68	70	57
Ank_4	PF13637.11	19	21	42	27	27	38	24	43
AA_permease_2	PF13520.11	60	45	63	51	69	72	66	64
Helicase_C	PF00271.36	59	52	63	53	63	60	65	60
AA_permease	PF00324.26	57	44	60	48	66	62	60	59
NAD_binding_10	PF13460.11	52	46	39	43	64	70	51	56
AAA	PF00004.34	37	37	46	37	44	43	44	45
NmrA	PF05368.18	48	39	35	40	55	66	48	58
DAO	PF01266.29	46	40	34	42	52	62	58	48
Methyltransf_11	PF08241.17	43	34	56	40	48	53	42	60
DEAD	PF00270.34	43	42	47	41	50	43	51	46
Abhydrolase_3	PF07859.18	42	34	40	46	52	47	49	39
Methyltransf_25	PF13649.11	39	34	54	39	50	49	39	56
ADH_zinc_N_2	PF13602.11	42	34	36	46	56	45	49	41
AMP-binding_C	PF13193.11	48	36	34	53	48	37	46	33
HET	PF06985.16	22	21	93	18	46	46	40	45
Aldedh	PF00171.27	46	44	38	47	38	31	38	39
Methyltransf_23	PF13489.11	34	26	52	37	41	51	34	54
BD-FAE	PF20434.3	39	25	31	42	55	47	52	36
Lys_Orn_oxgnase	PF13434.11	43	34	38	45	46	41	39	36
FAD_binding_2	PF00890.29	38	31	31	38	45	41	46	47
Pyr_redox_3	PF13738.11	40	37	43	43	43	40	35	35
ResIII	PF04851.20	38	34	37	32	41	43	41	36
Aldo_ket_red	PF00248.26	34	37	34	34	39	42	37	43
TPR_10	PF13374.11	9	7	19	12	7	23	10	14
Amidase	PF01425.26	35	26	29	41	41	39	41	36
Ank_3	PF13606.11	18	17	31	19	19	27	17	35
Hydrolase_4	PF12146.13	35	30	33	31	44	35	36	38
Ras	PF00071.27	32	32	34	31	32	31	31	31
zf-C2H2	PF00096.31	15	17	21	21	21	21	25	21
2OG-FeII_Oxy	PF03171.25	29	20	19	30	44	41	41	36
Methyltransf_12	PF08242.17	25	21	40	27	35	40	27	40
Acetyltransf_1	PF00583.30	30	27	34	30	29	34	34	34
Methyltransf_31	PF13847.11	27	20	38	23	36	37	28	41
DIOX_N	PF14226.11	26	19	19	29	40	41	40	34
Hydrolase	PF00702.31	32	26	32	33	31	35	28	29
Roc	PF08477.18	29	28	34	28	32	30	30	30
MMR_HSR1	PF01926.28	25	29	26	26	38	34	31	31
Arf	PF00025.26	29	26	32	27	30	30	30	28
COesterase	PF00135.33	29	23	19	23	39	33	41	26
Amidohydro_1	PF01979.25	31	22	22	31	35	26	29	27
GST_N_2	PF13409.11	28	21	27	34	31	27	31	25
3Beta_HSD	PF01073.24	27	21	25	25	38	29	33	23
TPR_12	PF13424.11	8	5	16	7	4	25	8	10
Aminotran_1_2	PF00155.26	27	23	24	24	28	30	26	31
F-box	PF00646.38	30	22	24	30	27	24	26	26
ABC_membrane	PF00664.28	14	16	15	13	14	24	14	17
F-box-like	PF12937.12	24	22	26	29	25	26	24	22
Transp_cyt_pur	PF02133.20	24	13	14	17	27	34	30	27
Cyt-b5	PF00173.33	22	20	24	27	29	22	24	22
ECH_1	PF00378.25	27	23	17	26	26	18	27	22
ABC2_membrane	PF01061.29	14	10	16	12	12	14	13	19
Cupin_2	PF07883.16	27	23	17	27	23	19	18	16
PhyH	PF05721.18	22	10	19	19	29	32	29	28
GST_N_3	PF13417.11	24	17	24	28	26	19	25	23
PUF	PF00806.24	4	4	4	4	4	4	4	4
TPR_16	PF13432.11	10	9	13	10	11	12	13	11
Metallophos	PF00149.33	23	17	22	20	24	21	25	22
NAD_binding_4	PF07993.17	21	15	21	23	33	21	31	15
zf-C3HC4	PF00097.30	22	19	22	20	24	21	22	28
SNF2-rel_dom	PF00176.28	20	16	26	17	22	24	24	22
AAA_5	PF07728.19	18	16	17	18	18	19	19	19
ECH_2	PF16113.10	25	21	16	24	25	17	24	22
Fung_rhodopsin	PF20684.2	15	22	31	17	22	17	22	22
GST_N	PF02798.25	24	15	20	26	23	19	23	21
TauD	PF02668.21	20	13	23	19	23	26	25	18
GST_C	PF00043.30	24	14	22	26	25	15	21	18
DnaJ	PF00226.36	17	21	20	21	23	19	21	20
Lactamase_B	PF00753.32	25	16	15	23	20	22	23	17
EF-hand_5	PF13202.11	12	7	7	7	9	9	8	8
SH3_1	PF00018.33	19	15	18	15	16	15	15	14
UQ_con	PF00179.31	20	18	18	18	20	21	19	16
DUF3425	PF11905.13	17	13	20	23	23	24	24	13
Acyl-CoA_dh_1	PF00441.29	20	19	18	17	24	19	22	18
KH_1	PF00013.34	7	5	7	6	6	7	6	7
TPR_8	PF13181.11	6	10	16	9	10	16	12	10
Pyr_redox	PF00070.32	21	11	19	20	21	17	24	22
E1-E2_ATPase	PF00122.25	22	14	22	21	15	17	14	15
GTP_EFTU	PF00009.32	18	17	21	18	21	20	19	19
Acyl-CoA_dh_M	PF02770.24	18	19	19	19	23	16	20	17
zf-RING_2	PF13639.11	17	19	16	16	23	19	20	21
Amino_oxidase	PF01593.29	18	12	22	21	16	20	17	17
HATPase_c	PF02518.31	14	22	22	18	19	17	17	20
Sel1	PF08238.17	5	5	5	5	5	6	6	5
