DOMAIN	Exophiala_alcalophila	Exophiala_crusticola	Exophiala_lecanii-corni	Exophiala_mesophila	Exophiala_sideris	Exophiala_spinifera	Exophiala_viscosa	Exophiala_xenobiotica
CE1.hmm	38	30	33	40	61	42	44	40
AA3_2.hmm	20	13	12	13	16	11	12	15
AA7.hmm	10	9	11	12	13	12	9	13
GH109.hmm	7	7	10	6	12	12	10	8
GH3.hmm	8	6	13	9	9	11	8	6
CE4.hmm	7	7	6	9	9	7	12	9
GT2_Chitin_synth_2.hmm	7	8	6	7	8	7	9	9
GT32.hmm	6	4	8	5	11	9	7	10
GT2_Glyco_trans_2_3.hmm	6	7	6	3	7	8	6	9
GH76.hmm	6	6	5	4	7	7	7	8
GH31.hmm	7	4	9	6	4	6	4	8
AA4.hmm	5	8	2	0	5	6	11	8
GH47.hmm	5	7	5	6	5	5	5	6
GT4.hmm	6	4	6	4	5	6	5	6
GT2_Glyco_tranf_2_3.hmm	6	5	3	4	6	7	4	6
AA1_3.hmm	6	4	6	5	5	3	6	6
GH17.hmm	5	6	5	4	5	6	4	5
GH18.hmm	5	5	7	2	6	4	5	6
GH16_1.hmm	6	5	4	4	5	6	5	5
AA1.hmm	6	3	6	4	5	5	4	7
GT1.hmm	4	5	6	4	5	7	3	5
GT90.hmm	5	4	6	3	6	4	6	5
GH2.hmm	4	3	7	2	6	5	5	6
GT20.hmm	4	3	5	3	5	5	6	6
GH13_40.hmm	4	2	4	5	6	3	6	5
AA2.hmm	6	2	5	4	4	4	4	5
GT8.hmm	2	4	3	4	5	5	6	5
GT25.hmm	2	4	5	8	2	5	2	5
GT15.hmm	4	4	4	4	4	5	4	3
GT34.hmm	2	3	3	4	6	4	6	3
GH128.hmm	4	3	3	5	4	3	4	4
CBM50.hmm	2	1	6	4	4	4	4	4
GT22.hmm	4	2	4	4	4	3	4	4
GH16_4.hmm	2	3	2	2	5	4	4	5
GT71.hmm	3	0	6	4	4	2	5	3
GH72.hmm	1	3	4	4	3	4	3	4
GT62.hmm	3	3	4	4	3	3	3	2
GT69.hmm	4	3	3	1	3	3	3	4
GT2_Chitin_synth_1.hmm	3	3	3	3	3	3	3	3
GH16_18.hmm	3	3	3	3	3	3	3	3
GT39.hmm	3	3	3	3	3	3	3	3
CE9.hmm	2	3	1	2	4	2	3	5
GH55.hmm	4	3	2	2	3	3	1	3
GH32.hmm	3	2	1	3	2	4	2	1
AA3_3.hmm	2	2	1	4	2	3	2	2
GH127.hmm	0	0	1	0	7	2	3	5
GH79.hmm	2	1	2	2	3	2	2	4
CE19.hmm	2	1	3	5	0	2	0	4
GH12.hmm	2	3	3	2	2	1	2	2
GH43_30.hmm	1	2	1	1	4	3	3	2
GT2_Glycos_transf_2.hmm	1	1	3	3	2	3	1	2
GT91.hmm	2	4	3	1	0	2	1	3
GH74.hmm	3	3	2	2	2	0	2	2
GH13_5.hmm	2	2	2	3	1	2	2	2
AA8.hmm	1	1	3	2	2	2	2	3
GH125.hmm	2	1	2	1	3	4	1	2
GH5_9.hmm	2	2	2	1	2	2	2	2
GT57.hmm	1	2	2	2	1	2	2	3
GT31.hmm	0	3	1	2	4	3	1	1
AA11.hmm	2	2	2	1	2	2	2	2
GH13_22.hmm	0	0	2	2	4	4	2	0
GH64.hmm	1	3	1	1	1	3	1	3
GH51.hmm	2	1	2	1	2	2	2	2
GH15.hmm	2	1	2	2	2	1	2	2
GH20.hmm	2	1	2	2	1	2	2	2
GH1.hmm	1	2	2	2	2	2	1	1
GH78.hmm	2	0	4	0	2	1	1	3
GH28.hmm	1	1	0	0	3	0	4	3
GH13_25.hmm	2	2	1	1	2	2	1	1
CE5.hmm	2	1	2	3	0	2	0	2
CE16.hmm	0	1	0	1	2	3	2	3
CE7.hmm	3	1	0	0	3	2	2	1
GH16_22.hmm	1	2	0	1	1	2	2	2
AA1_2.hmm	2	1	1	2	1	2	1	1
GH43_26.hmm	1	2	1	1	1	1	2	2
AA5_1.hmm	1	1	1	2	1	1	1	2
GH63.hmm	1	2	1	2	1	1	1	1
GH38.hmm	1	1	1	1	2	1	1	2
GH130.hmm	2	2	2	1	0	1	0	2
AA6.hmm	1	1	2	1	1	2	1	1
GH105.hmm	1	1	1	0	2	1	2	2
GH5_12.hmm	1	1	2	1	1	1	1	1
GH132.hmm	1	1	2	1	1	2	0	1
GH5_22.hmm	2	1	1	1	1	1	1	1
GH27.hmm	1	0	2	1	2	1	1	1
AA9.hmm	1	1	5	2	0	0	0	0
GT35.hmm	1	1	1	1	1	2	1	1
GH16_23.hmm	2	2	1	1	0	1	0	2
GT33.hmm	1	1	1	1	1	1	1	1
CBM48.hmm	1	1	0	2	1	1	1	1
GH13_8.hmm	1	1	1	1	1	1	1	1
GT58.hmm	1	1	1	1	1	1	1	1
GH65.hmm	1	1	1	1	1	1	1	1
CBM21.hmm	1	1	1	1	1	1	1	1
CBM13.hmm	0	1	0	0	2	1	1	3
GT24.hmm	1	1	1	1	1	1	1	1
GH81.hmm	1	1	1	1	1	1	1	1
GT66.hmm	1	1	1	1	1	1	1	1
GH37.hmm	1	1	1	1	1	1	1	1
GH114.hmm	0	1	2	1	1	1	1	1
GH13_3.hmm	1	1	0	0	1	1	2	2
GT59.hmm	1	1	1	1	1	1	1	1
GH43_1.hmm	1	1	1	1	1	1	1	1
GT3.hmm	1	1	1	1	1	1	1	1
GH16_2.hmm	1	1	1	1	1	1	1	1
GH67.hmm	1	1	2	0	1	1	1	1
AA3.hmm	1	0	0	1	0	2	0	3
AA12.hmm	1	1	1	0	1	1	1	1
CBM1.hmm	1	1	1	1	0	1	1	1
CE12.hmm	1	1	1	1	1	1	1	0
GH16_19.hmm	1	1	1	0	1	1	1	1
GH35.hmm	0	0	0	0	2	1	2	2
GT28.hmm	1	1	1	1	1	1	0	1
GH16_3.hmm	2	1	1	0	1	1	1	0
GH5_5.hmm	1	0	2	1	1	0	1	1
GH10.hmm	1	1	1	0	1	1	1	1
CE14.hmm	1	1	0	1	1	1	1	1
GT50.hmm	1	1	1	0	1	1	1	1
GH152.hmm	1	0	1	0	1	1	1	1
GH154.hmm	0	1	1	0	1	1	1	1
GH43_14.hmm	1	0	1	1	1	0	1	1
CBM67.hmm	1	0	3	0	1	0	0	1
GH13_4.hmm	1	0	1	1	1	1	1	0
GH93.hmm	0	0	2	0	1	1	1	1
GT21.hmm	1	0	1	1	1	0	1	1
CBM91.hmm	1	0	1	1	1	0	1	1
CBM20.hmm	1	0	1	1	1	0	1	1
GT48.hmm	1	0	1	0	1	1	1	1
GH106.hmm	0	0	0	1	1	0	2	1
GH13_1.hmm	0	1	1	0	2	0	1	0
GH36.hmm	1	0	1	0	0	2	0	1
GH13.hmm	1	1	1	0	0	1	0	1
GT76.hmm	1	1	1	1	1	0	0	0
GH95.hmm	0	0	2	0	0	2	0	1
GH89.hmm	2	0	0	0	1	1	0	1
GH146.hmm	1	1	0	1	0	0	0	1
CBM43.hmm	0	0	1	1	1	0	0	1
CBM18.hmm	0	0	2	0	1	1	0	0
GH5_24.hmm	1	0	1	0	1	0	1	0
CE2.hmm	0	1	1	0	0	1	0	0
GT17.hmm	0	1	1	1	0	0	0	0
AA3_1.hmm	0	1	0	1	1	0	0	0
GH115.hmm	0	1	1	0	0	0	0	1
GH5_49.hmm	1	0	1	1	0	0	0	0
AA5_2.hmm	0	1	0	0	1	0	0	1
GH30_7.hmm	0	0	0	0	1	0	1	1
GH5_15.hmm	0	1	0	0	1	0	1	0
PL35.hmm	1	0	0	0	0	1	0	1
GH9.hmm	0	0	0	0	1	0	1	1
CBM4.hmm	0	0	0	0	1	0	1	1
AA5.hmm	1	0	1	1	0	0	0	0
CE15.hmm	0	0	0	0	1	0	0	1
GH23.hmm	1	0	0	0	0	0	1	0
AA14.hmm	1	0	1	0	0	0	0	0
GH135.hmm	1	1	0	0	0	0	0	0
GH75.hmm	0	0	0	0	0	0	0	2
GH39.hmm	0	0	1	0	0	1	0	0
PL9.hmm	0	0	1	1	0	0	0	0
GT43.hmm	0	0	0	0	1	0	1	0
GH11.hmm	1	0	0	1	0	0	0	0
GH30_3.hmm	0	0	0	0	1	0	1	0
GH142.hmm	0	0	0	0	1	0	0	1
PL29.hmm	0	0	1	0	1	0	0	0
CBM32.hmm	0	1	0	0	0	0	0	1
CBM63.hmm	0	0	0	0	0	1	0	0
GT109.hmm	0	0	0	0	0	0	0	1
GH43_22.hmm	0	0	1	0	0	0	0	0
PL3_2.hmm	0	0	1	0	0	0	0	0
GH5_31.hmm	1	0	0	0	0	0	0	0
CBM66.hmm	0	0	0	0	0	1	0	0
CE3.hmm	0	0	0	0	1	0	0	0
GH13_31.hmm	0	0	0	0	0	1	0	0
PL42.hmm	0	0	1	0	0	0	0	0
GT2_Cellulose_synt.hmm	1	0	0	0	0	0	0	0
GH49.hmm	0	0	0	0	0	0	0	1
GT23.hmm	0	1	0	0	0	0	0	0
GT77.hmm	0	0	0	0	0	1	0	0
PL4_3.hmm	0	0	1	0	0	0	0	0
GH172.hmm	0	0	0	0	1	0	0	0
PL1_7.hmm	0	0	1	0	0	0	0	0
CBM87.hmm	0	0	1	0	0	0	0	0
GH7.hmm	0	0	1	0	0	0	0	0
PL1_10.hmm	0	0	1	0	0	0	0	0
CE18.hmm	0	0	1	0	0	0	0	0
CBM14.hmm	1	0	0	0	0	0	0	0
GH33.hmm	0	0	0	0	0	0	1	0
GH140.hmm	0	0	1	0	0	0	0	0
GH43_6.hmm	0	0	0	0	0	0	0	1
GH141.hmm	1	0	0	0	0	0	0	0
